DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/conf/locale/__init__.py first seen with mtime 1764340270.879057
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/template/loader.py first seen with mtime 1764340271.7073765
DEBUG 2025-12-04 07:00:04,342 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/exceptions.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/yaml/error.py first seen with mtime 1764341151.8954523
DEBUG 2025-12-04 07:00:04,342 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/subprocess.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,342 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/template/loaders/base.py first seen with mtime 1764340271.7096403
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/sites/requests.py first seen with mtime 1764340271.587697
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/illustrations/models.py first seen with mtime 1764416259.5168402
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/pytz/tzinfo.py first seen with mtime 1764341151.6657548
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/middleware/csrf.py first seen with mtime 1764340271.7045987
DEBUG 2025-12-04 07:00:04,342 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_weakrefset.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/sqlparse/filters/__init__.py first seen with mtime 1764340270.796094
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/http/response.py first seen with mtime 1764340271.7036092
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/template/loaders/app_directories.py first seen with mtime 1764340271.7094934
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/http/request.py first seen with mtime 1764340271.7034237
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1764340271.63585
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/auth/checks.py first seen with mtime 1764340271.1466744
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/signing.py first seen with mtime 1764340271.637573
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/utils/connection.py first seen with mtime 1764340271.7159088
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/checks/model_checks.py first seen with mtime 1764340271.6411722
DEBUG 2025-12-04 07:00:04,342 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/manage.py first seen with mtime 1764340349.4437957
DEBUG 2025-12-04 07:00:04,342 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_casefix.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/negotiation.py first seen with mtime 1764340387.563137
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework_simplejwt/serializers.py first seen with mtime 1764341096.8813112
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/migrations/questioner.py first seen with mtime 1764340271.6730173
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/filters.py first seen with mtime 1764340387.562306
